competencia;caixa;campo;valor
38961;39022;albacora;119928181,7
38961;39022;albacora leste;197524946,3
38961;39022;barracuda;230091216,9
38961;39022;canto do amaro;8350953,316
38961;39022;carapeba;254913,9134
38961;39022;caratinga;180976326,5
38961;39022;carmopolis;5216507,059
38961;39022;cherne;103735,8899
38961;39022;fazenda alegre;267990,1237
38961;39022;leste do urucu;11006707,98
38961;39022;marimba;8462262,914
38961;39022;marlim;751774526
38961;39022;marlim sul;257722866,8
38961;39022;miranga;2115602,138
38961;39022;namorado;9849608,15
38961;39022;pampo;1697811,796
38961;39022;pilar;149965,3847
38961;39022;rio urucu;4984254,883
38961;39022;roncador;73971096,49
39052;39114;albacora;148206311,2
39052;39114;albacora leste;199292194,1
39052;39114;barracuda;180594473,5
39052;39114;canto do amaro;7675741,746
39052;39114;carapeba;1724996,726
39052;39114;caratinga;113862343,7
39052;39114;carmopolis;5197543,805
39052;39114;fazenda alegre;271999,9987
39052;39114;leste do urucu;9452212,903
39052;39114;marimba;6749361,476
39052;39114;marlim;565796885,6
39052;39114;marlim sul;219865947,1
39052;39114;miranga;1398481,904
39052;39114;namorado;7221319,295
39052;39114;pampo;1442268,747
39052;39114;rio urucu;4751583,873
39052;39114;roncador;55474770,29
39142;39203;albacora;149373720,7
39142;39203;albacora leste;250645142,3
39142;39203;barracuda;204745187,6
39142;39203;canto do amaro;9187142,71
39142;39203;carapeba;1389199,701
39142;39203;caratinga;115471415,1
39142;39203;carmopolis;7042418,334
39142;39203;cherne;1370831,415
39142;39203;espadarte;4391213,315
39142;39203;fazenda alegre;397000,0174
39142;39203;jubarte;5065422,433
39142;39203;leste do urucu;11063615,91
39142;39203;marimba;9859160,816
39142;39203;marlim;710293725,8
39142;39203;marlim sul;244908078,4
39142;39203;miranga;1166644,027
39142;39203;namorado;3841637,916
39142;39203;pampo;2170326,138
39142;39203;rio urucu;4231823,836
39142;39203;roncador;58339061,16
39234;39295;albacora;129086374,2
39234;39295;albacora leste;244902158,8
39234;39295;barracuda;213463934
39234;39295;canto do amaro;10162912,7
39234;39295;carapeba;1742250,627
39234;39295;caratinga;107056448,7
39234;39295;carmopolis;8051983,465
39234;39295;cherne;2752127,622
39234;39295;espadarte;29422770,81
39234;39295;fazenda alegre;74146,4
39234;39295;jubarte;15152173,37
39234;39295;leste do urucu;9788895,948
39234;39295;marimba;13338055,04
39234;39295;marlim;887077349,4
39234;39295;marlim sul;259919287,2
39234;39295;miranga;1000208,092
39234;39295;namorado;1508804,079
39234;39295;pampo;1140289,003
39234;39295;rio urucu;6346095,878
