competencia;caixa;estado;valor
38961;39022;alagoas;59986,15
44440;44501;alagoas;33630,64
44531;44593;alagoas;1,08
38961;39022;amazonas;6396385,14
39052;39114;amazonas;5681518,71
39142;39203;amazonas;6118175,89
39234;39295;amazonas;6453996,73
39326;39387;amazonas;6564578,51
39417;39479;amazonas;7726300,06
39508;39569;amazonas;8812441,71
39600;39661;amazonas;8358066,82
39692;39753;amazonas;5064124,3
39783;39845;amazonas;4480848,99
39873;39934;amazonas;6222014,7
39965;40026;amazonas;6666584,04
40057;40118;amazonas;7440698,13
40148;40210;amazonas;7024245,73
40238;40299;amazonas;8251906,6
40330;40391;amazonas;7315221,42
40422;40483;amazonas;6818677,1
40513;40575;amazonas;11268884
40603;40664;amazonas;14086742,42
40695;40756;amazonas;15533533,41
40787;40848;amazonas;15817373,99
40878;40940;amazonas;14684105,64
40969;41030;amazonas;16451274,91
41061;41122;amazonas;16052043,24
41153;41214;amazonas;17353812,32
41244;41306;amazonas;16845646,72
41334;41395;amazonas;15316028,58
41426;41487;amazonas;17646582,85
41518;41579;amazonas;18303840,86
41609;41671;amazonas;20101139,2
41699;41760;amazonas;16344357,32
41791;41852;amazonas;15226721,4
41883;41944;amazonas;11254565,79
41974;42036;amazonas;7662882,02
42064;42125;amazonas;8953527,56
42156;42217;amazonas;8639885,56
42248;42309;amazonas;6687285,22
42339;42401;amazonas;5461665,38
42430;42491;amazonas;6404574,8
42522;42583;amazonas;5371926,01
42614;42675;amazonas;7089794,02
42705;42767;amazonas;6355293,13
42795;42856;amazonas;4794056,29
42887;42948;amazonas;6728365,81
42979;43040;amazonas;8945916,46
43070;43132;amazonas;8547329,19
43160;43221;amazonas;12126094,08
43252;43313;amazonas;14911985,54
43344;43405;amazonas;11398365,82
43435;43497;amazonas;10039521,84
43525;43586;amazonas;34522386,41
43617;43678;amazonas;9694772,29
43709;43770;amazonas;11009536,94
43800;43862;amazonas;7236942,08
43891;43952;amazonas;5306802,83
43983;44044;amazonas;9260273,62
44075;44136;amazonas;12480435,01
44166;44228;amazonas;19657139,99
44256;44317;amazonas;18714652,9
44348;44409;amazonas;25140828,85
44440;44501;amazonas;29142020,95
44531;44593;amazonas;23399085,7
44621;44682;amazonas;26111739,16
44713;44774;amazonas;25177394,26
44805;44866;amazonas;16976315,41
44896;44958;amazonas;12678873,93
44986;45047;amazonas;10626374,03
45078;45139;amazonas;11296757,13
45170;45231;amazonas;12945030,63
45261;45323;amazonas;10995974,49
45352;45413;amazonas;10585977,3
45444;45505;amazonas;11097413,9
45536;45597;amazonas;12721831,4
38961;39022;bahia;846240,85
39052;39114;bahia;559392,76
39142;39203;bahia;466657,61
39234;39295;bahia;400083,23
39326;39387;bahia;403785,89
39417;39479;bahia;281072,76
39508;39569;bahia;327822,42
39600;39661;bahia;258250,78
39692;39753;bahia;168701,77
39783;39845;bahia;65862,53
39873;39934;bahia;1461,61
40057;40118;bahia;89455,38
40148;40210;bahia;1,3
40238;40299;bahia;1851529,08
40330;40391;bahia;3124873,29
40422;40483;bahia;694027,87
40513;40575;bahia;462557,47
40695;40756;bahia;543267,38
40787;40848;bahia;791372,12
40878;40940;bahia;1246188,03
40969;41030;bahia;2540625,75
41061;41122;bahia;2691688,82
41153;41214;bahia;2293962,6
41244;41306;bahia;2888373,41
41334;41395;bahia;1002009,87
41426;41487;bahia;2789777,26
41518;41579;bahia;2641512,03
41609;41671;bahia;2739568,88
41699;41760;bahia;2508299,36
41791;41852;bahia;2438568,69
41883;41944;bahia;2101913,8
41974;42036;bahia;1981827,88
42064;42125;bahia;2154639,6
42156;42217;bahia;1563292,85
42248;42309;bahia;2165034,7
42339;42401;bahia;2390199,17
42430;42491;bahia;1393523,07
42522;42583;bahia;894398,83
42614;42675;bahia;606924,06
42705;42767;bahia;502037,59
42795;42856;bahia;834349,76
42887;42948;bahia;1930862,77
42979;43040;bahia;2337212,45
43070;43132;bahia;1244393,87
43160;43221;bahia;1377612,25
43252;43313;bahia;2024357,95
43344;43405;bahia;1593646,04
43617;43678;bahia;383902,01
43709;43770;bahia;1245598,62
44075;44136;bahia;153369,58
44166;44228;bahia;57675,42
44256;44317;bahia;1087714,08
44348;44409;bahia;135936,33
44440;44501;bahia;262089,9
44531;44593;bahia;25379,1
38961;39022;espirito santo;4063939,58
39052;39114;espirito santo;3076167,65
39142;39203;espirito santo;5305548,69
39234;39295;espirito santo;8613462,33
39326;39387;espirito santo;10866948,59
39417;39479;espirito santo;25321986,15
39508;39569;espirito santo;53276934,8
39600;39661;espirito santo;71795149,98
39692;39753;espirito santo;34371487,08
39783;39845;espirito santo;32134845,69
39873;39934;espirito santo;49770879,41
39965;40026;espirito santo;52438823,65
40057;40118;espirito santo;54511984,21
40148;40210;espirito santo;58147550,08
40238;40299;espirito santo;62630182,1
40330;40391;espirito santo;60645127,43
40422;40483;espirito santo;63735809,75
40513;40575;espirito santo;122836483
40603;40664;espirito santo;152887988,5
40695;40756;espirito santo;169780582,9
40787;40848;espirito santo;253935703,2
40878;40940;espirito santo;253511703,2
40969;41030;espirito santo;274162174,9
41061;41122;espirito santo;192559605,4
41153;41214;espirito santo;202051506,4
41244;41306;espirito santo;206455424,4
41334;41395;espirito santo;196250829,6
41426;41487;espirito santo;220909889,6
41518;41579;espirito santo;225408955,7
41609;41671;espirito santo;199623050
41699;41760;espirito santo;249555085,6
41791;41852;espirito santo;262357797,7
41883;41944;espirito santo;238495851,2
41974;42036;espirito santo;135447360,6
42064;42125;espirito santo;193861615,8
42156;42217;espirito santo;165981250,8
42248;42309;espirito santo;113517315,1
42339;42401;espirito santo;64429430,47
42430;42491;espirito santo;125956217,8
42522;42583;espirito santo;158084662
42614;42675;espirito santo;199016830,1
42705;42767;espirito santo;193157632,2
42795;42856;espirito santo;188715749,9
42887;42948;espirito santo;139958770
42979;43040;espirito santo;208922435,9
43070;43132;espirito santo;244218159,5
43160;43221;espirito santo;322625730,6
43252;43313;espirito santo;306964422,9
43344;43405;espirito santo;286076370,5
43435;43497;espirito santo;969859961,9
43525;43586;espirito santo;398171725,7
43617;43678;espirito santo;337182759,4
43709;43770;espirito santo;322094811,3
43800;43862;espirito santo;311530136,5
43891;43952;espirito santo;123320199,3
43983;44044;espirito santo;239553238,7
44075;44136;espirito santo;277905715,9
44166;44228;espirito santo;425985453,6
44256;44317;espirito santo;362534592,8
44348;44409;espirito santo;402504735,3
44440;44501;espirito santo;471162381,6
44531;44593;espirito santo;379422949,3
44621;44682;espirito santo;316101872
44713;44774;espirito santo;173749270,8
44805;44866;espirito santo;129669417,1
44896;44958;espirito santo;113926914,4
44986;45047;espirito santo;164267260,8
45078;45139;espirito santo;263366249,8
45170;45231;espirito santo;202886068,7
45261;45323;espirito santo;274301877,8
45352;45413;espirito santo;172303303,5
45444;45505;espirito santo;172489794,8
45536;45597;espirito santo;84203935,66
41518;41579;maranhao;97716,01
41609;41671;maranhao;2080071,62
41974;42036;maranhao;1361996,14
42064;42125;maranhao;967959,3
42156;42217;maranhao;811690,07
42248;42309;maranhao;896621,53
42339;42401;maranhao;266782,48
42522;42583;maranhao;136785,16
42614;42675;maranhao;178735,13
42887;42948;maranhao;219423,4
43160;43221;maranhao;9000,05
44440;44501;maranhao;105523,01
44896;44958;maranhao;1733331,73
38961;39022;rio de janeiro;728986253,8
39052;39114;rio de janeiro;597124981
39142;39203;rio de janeiro;699598900,4
39234;39295;rio de janeiro;772907451,9
39326;39387;rio de janeiro;840409447,3
39417;39479;rio de janeiro;951050641
39508;39569;rio de janeiro;1246713147
39600;39661;rio de janeiro;1416180519
39692;39753;rio de janeiro;708102387,3
39783;39845;rio de janeiro;520071869,8
39873;39934;rio de janeiro;906479558,8
39965;40026;rio de janeiro;1040797458
40057;40118;rio de janeiro;1161808979
40148;40210;rio de janeiro;1290452794
40238;40299;rio de janeiro;1077103640
40330;40391;rio de janeiro;850972509,4
40422;40483;rio de janeiro;961118215,6
40513;40575;rio de janeiro;1143287825
40603;40664;rio de janeiro;1266182616
40695;40756;rio de janeiro;1109647259
40787;40848;rio de janeiro;1277356619
40878;40940;rio de janeiro;1378885815
40969;41030;rio de janeiro;1361695270
41061;41122;rio de janeiro;1250515372
41153;41214;rio de janeiro;1441680241
41244;41306;rio de janeiro;1240099096
41334;41395;rio de janeiro;1140437148
41426;41487;rio de janeiro;1417944979
41518;41579;rio de janeiro;1452475240
41609;41671;rio de janeiro;1397564891
41699;41760;rio de janeiro;1272368881
41791;41852;rio de janeiro;1369802649
41883;41944;rio de janeiro;940603613,8
41974;42036;rio de janeiro;579373240,1
42064;42125;rio de janeiro;748696970,1
42156;42217;rio de janeiro;717209281,6
42248;42309;rio de janeiro;537062785,2
42339;42401;rio de janeiro;302569364,6
42430;42491;rio de janeiro;483986368,3
42522;42583;rio de janeiro;183651102,6
42614;42675;rio de janeiro;1102778325
42705;42767;rio de janeiro;1205264183
42795;42856;rio de janeiro;1016526014
42887;42948;rio de janeiro;1145024813
42979;43040;rio de janeiro;1635118756
43070;43132;rio de janeiro;2181563998
43160;43221;rio de janeiro;2586761444
43252;43313;rio de janeiro;2708344324
43344;43405;rio de janeiro;2462973479
43435;43497;rio de janeiro;2108794059
43525;43586;rio de janeiro;2138038305
43617;43678;rio de janeiro;2157627820
43709;43770;rio de janeiro;2496159117
43800;43862;rio de janeiro;1738928149
43891;43952;rio de janeiro;985945787,3
43983;44044;rio de janeiro;1794921170
44075;44136;rio de janeiro;1733585600
44166;44228;rio de janeiro;2881948562
44256;44317;rio de janeiro;3239614610
44348;44409;rio de janeiro;3627577890
44440;44501;rio de janeiro;4171854691
44531;44593;rio de janeiro;4953082518
44621;44682;rio de janeiro;4282061116
44713;44774;rio de janeiro;4444133797
44805;44866;rio de janeiro;3737203605
44896;44958;rio de janeiro;3209778013
44986;45047;rio de janeiro;2831636641
45078;45139;rio de janeiro;3494631408
45170;45231;rio de janeiro;3419073342
45261;45323;rio de janeiro;2901779603
45352;45413;rio de janeiro;2987294314
45444;45505;rio de janeiro;3335791995
45536;45597;rio de janeiro;3288925007
38961;39022;rio grande do norte;3340381,32
39052;39114;rio grande do norte;3070296,69
39142;39203;rio grande do norte;3674857,08
39234;39295;rio grande do norte;4065165,08
39326;39387;rio grande do norte;4889223,34
39417;39479;rio grande do norte;4918699,58
39508;39569;rio grande do norte;5525797,51
39600;39661;rio grande do norte;5964818,34
39692;39753;rio grande do norte;2749235,11
39783;39845;rio grande do norte;2021137,43
39873;39934;rio grande do norte;1926198,13
39965;40026;rio grande do norte;2469660,24
40057;40118;rio grande do norte;2469112,47
40148;40210;rio grande do norte;2269622,27
40238;40299;rio grande do norte;1896248,27
40330;40391;rio grande do norte;2056425,8
40422;40483;rio grande do norte;1790945,62
40513;40575;rio grande do norte;2749635,9
40603;40664;rio grande do norte;2916005,04
40695;40756;rio grande do norte;3190337,36
40787;40848;rio grande do norte;2939181,71
40878;40940;rio grande do norte;3547834,16
40969;41030;rio grande do norte;4495655,11
41061;41122;rio grande do norte;5102517,2
41153;41214;rio grande do norte;5028629,28
41244;41306;rio grande do norte;4990449,36
41334;41395;rio grande do norte;4830840,42
41426;41487;rio grande do norte;6391583,24
41518;41579;rio grande do norte;5584923,2
41609;41671;rio grande do norte;5571287,8
41699;41760;rio grande do norte;4877805,11
41791;41852;rio grande do norte;3943496,55
41883;41944;rio grande do norte;2001051,54
41974;42036;rio grande do norte;747147,39
42064;42125;rio grande do norte;1364807,71
42156;42217;rio grande do norte;454277,64
42248;42309;rio grande do norte;89075,09
42522;42583;rio grande do norte;81070,04
44166;44228;rio grande do norte;28923,46
44440;44501;rio grande do norte;717511,68
44531;44593;rio grande do norte;40969,82
41426;41487;sao paulo;24297943,48
41518;41579;sao paulo;39662971,56
41609;41671;sao paulo;5291929,13
41699;41760;sao paulo;64232287,89
41791;41852;sao paulo;78287161,53
41883;41944;sao paulo;94780518,41
41974;42036;sao paulo;61510412,69
42064;42125;sao paulo;156687746,2
42156;42217;sao paulo;176891322,8
42248;42309;sao paulo;108579201,4
42339;42401;sao paulo;83206298,25
42430;42491;sao paulo;144944774
42522;42583;sao paulo;1916133,36
42614;42675;sao paulo;166183757,9
42705;42767;sao paulo;238664889,4
42795;42856;sao paulo;212180152,3
42887;42948;sao paulo;240516442,7
42979;43040;sao paulo;307062851,8
43070;43132;sao paulo;355104219,3
43160;43221;sao paulo;404032194,4
43252;43313;sao paulo;514594433,6
43344;43405;sao paulo;432280808,8
43435;43497;sao paulo;375058092
43525;43586;sao paulo;430688281,5
43617;43678;sao paulo;351563254,1
43709;43770;sao paulo;303436653,7
43800;43862;sao paulo;282061039,3
43891;43952;sao paulo;124905548,7
43983;44044;sao paulo;171177484,6
44075;44136;sao paulo;198410182,4
44166;44228;sao paulo;414898532,4
44256;44317;sao paulo;483440201,7
44348;44409;sao paulo;544488193,9
44440;44501;sao paulo;473153984,7
44531;44593;sao paulo;733869019,4
44621;44682;sao paulo;751746062
44713;44774;sao paulo;694303689,1
44805;44866;sao paulo;379729913,3
44896;44958;sao paulo;366411122,6
44986;45047;sao paulo;392287561
45078;45139;sao paulo;468391092
45170;45231;sao paulo;344039964,5
45261;45323;sao paulo;242606817,2
45352;45413;sao paulo;331854235,8
45444;45505;sao paulo;249271951,2
45536;45597;sao paulo;140848737
38961;39022;sergipe;2086602,82
39052;39114;sergipe;2079017,52
39142;39203;sergipe;2816967,33
39234;39295;sergipe;3220793,37
39326;39387;sergipe;3477982,42
39417;39479;sergipe;3250508,97
39508;39569;sergipe;3913781,99
39692;39753;sergipe;683921,05
39783;39845;sergipe;429202,31
39873;39934;sergipe;1640470,67
39965;40026;sergipe;2367190,36
40057;40118;sergipe;2124090,41
40148;40210;sergipe;2065166,44
40238;40299;sergipe;1994613,39
40330;40391;sergipe;1758394,28
40422;40483;sergipe;1711260,95
40513;40575;sergipe;2680069,38
40603;40664;sergipe;2845230,5
40695;40756;sergipe;2875257,87
40787;40848;sergipe;3055036,47
40878;40940;sergipe;3633766,28
40969;41030;sergipe;3247844,41
41061;41122;sergipe;3150089,2
41153;41214;sergipe;3163499
41244;41306;sergipe;2739786,5
41334;41395;sergipe;2518314,23
41426;41487;sergipe;2947585,14
41518;41579;sergipe;3235019,4
41609;41671;sergipe;3532246,64
41699;41760;sergipe;2809954,2
41791;41852;sergipe;2342367,87
41883;41944;sergipe;786072,23
41974;42036;sergipe;91615,14
42064;42125;sergipe;101402,07
42339;42401;sergipe;2388,96
42430;42491;sergipe;57692,26
42705;42767;sergipe;43405,17
44166;44228;sergipe;7261,92
44440;44501;sergipe;368822,59
44531;44593;sergipe;1433,42
