competencia;caixa;municipio;estado;valor
38961;39022;marechal deodoro;alagoas;1923,63
38961;39022;pilar;alagoas;10387,72
38961;39022;rio largo;alagoas;487,97
38961;39022;satuba;alagoas;2197,2
38961;39022;coari;amazonas;1599096,28
38961;39022;pojuca;bahia;211560,21
38961;39022;jaguare;espirito santo;26799,01
38961;39022;presidente kennedy;espirito santo;989185,88
38961;39022;armacao dos buzios;rio de janeiro;1830422,6
38961;39022;cabo frio;rio de janeiro;17918625,08
38961;39022;campos dos goytacazes;rio de janeiro;97798020,58
38961;39022;carapebus;rio de janeiro;387200,64
38961;39022;casimiro de abreu;rio de janeiro;5995387,79
38961;39022;macae;rio de janeiro;15372076,61
38961;39022;quissama;rio de janeiro;9948507,41
38961;39022;rio das ostras;rio de janeiro;30918451,76
38961;39022;sao joao da barra;rio de janeiro;2077870,95
38961;39022;areia branca;rio grande do norte;146061,89
38961;39022;mossoro;rio grande do norte;689033,43
38961;39022;carmopolis;sergipe;239349,62
38961;39022;general maynard;sergipe;1336,2
38961;39022;japaratuba;sergipe;249710,9
38961;39022;maruim;sergipe;6296,79
38961;39022;rosario do catete;sergipe;20277,9
38961;39022;santo amaro das brotas;sergipe;4679,41
39052;39114;coari;amazonas;1420379,67
39052;39114;pojuca;bahia;139848,19
39052;39114;jaguare;espirito santo;27199,99
39052;39114;presidente kennedy;espirito santo;741841,91
39052;39114;armacao dos buzios;rio de janeiro;1424104,85
39052;39114;cabo frio;rio de janeiro;13278682,55
39052;39114;campos dos goytacazes;rio de janeiro;81504402,44
39052;39114;carapebus;rio de janeiro;527343,2
39052;39114;casimiro de abreu;rio de janeiro;4788508,6
39052;39114;macae;rio de janeiro;11574823,61
39052;39114;quissama;rio de janeiro;10907504,99
39052;39114;rio das ostras;rio de janeiro;23717571,53
39052;39114;sao joao da barra;rio de janeiro;1558303,44
39052;39114;areia branca;rio grande do norte;154792,62
39052;39114;mossoro;rio grande do norte;612781,55
39052;39114;carmopolis;sergipe;249159,14
39052;39114;general maynard;sergipe;1428,5
39052;39114;japaratuba;sergipe;238852,41
39052;39114;maruim;sergipe;5623,63
39052;39114;rosario do catete;sergipe;19983,59
39052;39114;santo amaro das brotas;sergipe;4707,2
39142;39203;coari;amazonas;1529543,97
39142;39203;pojuca;bahia;116664,4
39142;39203;itapemirim;espirito santo;221632,96
39142;39203;jaguare;espirito santo;39700
39142;39203;marataizes;espirito santo;31638,15
39142;39203;presidente kennedy;espirito santo;1033416,05
39142;39203;armacao dos buzios;rio de janeiro;1651098,37
39142;39203;arraial do cabo;rio de janeiro;17545,45
39142;39203;cabo frio;rio de janeiro;14548080,02
39142;39203;campos dos goytacazes;rio de janeiro;95314475,98
39142;39203;carapebus;rio de janeiro;519393,84
39142;39203;casimiro de abreu;rio de janeiro;5387500,99
39142;39203;macae;rio de janeiro;14508411,57
39142;39203;quissama;rio de janeiro;12568826,84
39142;39203;rio das ostras;rio de janeiro;28745629,75
39142;39203;sao joao da barra;rio de janeiro;1638762,25
39142;39203;areia branca;rio grande do norte;183753,68
39142;39203;mossoro;rio grande do norte;734960,59
39142;39203;carmopolis;sergipe;313532,5
39142;39203;general maynard;sergipe;1900,6
39142;39203;japaratuba;sergipe;346155,31
39142;39203;maruim;sergipe;8527,38
39142;39203;rosario do catete;sergipe;27173,29
39142;39203;santo amaro das brotas;sergipe;6952,86
39234;39295;coari;amazonas;1613499,18
39234;39295;pojuca;bahia;100020,8
39234;39295;itapemirim;espirito santo;662969,61
39234;39295;jaguare;espirito santo;7414,64
39234;39295;marataizes;espirito santo;94639,05
