competencia;caixa;conta;valor
40878;40940;fundo social;17728045,49
40969;41030;fundo social;48445943,18
41061;41122;fundo social;101835631,4
41153;41214;fundo social;123120681,2
41244;41306;fundo social;189489323,7
41334;41395;fundo social;171034886,6
41426;41487;fundo social;172633,36
41518;41579;fundo social;295844845,4
41609;41671;fundo social;420862857,2
41699;41760;fundo social;400881246,5
41791;41852;fundo social;528789146,4
41883;41944;fundo social;552813277,1
41974;42036;fundo social;406145900,7
42064;42125;fundo social;604863253
42156;42217;fundo social;830237605
42248;42309;fundo social;615645275,5
42339;42401;fundo social;485913902,5
42430;42491;fundo social;740395780,4
42522;42583;fundo social;149272046
42614;42675;fundo social;1445180129
42705;42767;fundo social;1626493072
42795;42856;fundo social;1497343493
42887;42948;fundo social;1588471493
42979;43040;fundo social;2228767977
43070;43132;fundo social;2635611057
43160;43221;fundo social;3387656467
43252;43313;fundo social;3776417144
43344;43405;fundo social;3462525769
43435;43497;fundo social;3726441824
43525;43586;fundo social;3222933446
43617;43678;fundo social;3216515703
43709;43770;fundo social;3663684992
43800;43862;fundo social;2757283267
43891;43952;fundo social;1486095125
43983;44044;fundo social;2655115183
44075;44136;fundo social;2568048215
44166;44228;fundo social;4260576517
44256;44317;fundo social;4589726043
44348;44409;fundo social;5107930506
44440;44501;fundo social;5621831194
44531;44593;fundo social;6824514552
44621;44682;fundo social;6017134299
44713;44774;fundo social;5961712263
44805;44866;fundo social;4809656917
44896;44958;fundo social;4138729366
44986;45047;fundo social;3922634790
45078;45139;fundo social;4647057525
45170;45231;fundo social;4472606874
45261;45323;fundo social;3834123785
45352;45413;fundo social;4022353129
45444;45505;fundo social;4357380966
45536;45597;fundo social;4125169096
38961;39022;ministerio de minas e energia;745779789,7
39052;39114;ministerio de minas e energia;611591374,4
39142;39203;ministerio de minas e energia;717981107,1
39234;39295;ministerio de minas e energia;795660952,7
39326;39387;ministerio de minas e energia;866611966,1
39417;39479;ministerio de minas e energia;992549208,5
39508;39569;ministerio de minas e energia;1318569926
39600;39661;ministerio de minas e energia;1506584644
39692;39753;ministerio de minas e energia;751139856,6
39783;39845;ministerio de minas e energia;559203766,7
39873;39934;ministerio de minas e energia;966040583,3
39965;40026;ministerio de minas e energia;1104739716
40057;40118;ministerio de minas e energia;1228444320
40148;40210;ministerio de minas e energia;1359959380
40238;40299;ministerio de minas e energia;1153728120
40330;40391;ministerio de minas e energia;925872551,6
40422;40483;ministerio de minas e energia;1035868937
40513;40575;ministerio de minas e energia;1283285455
40603;40664;ministerio de minas e energia;1438918583
40695;40756;ministerio de minas e energia;1301570238
40787;40848;ministerio de minas e energia;1553895287
40878;40940;ministerio de minas e energia;1641326976
40969;41030;ministerio de minas e energia;1623836091
41061;41122;ministerio de minas e energia;1388602891
41153;41214;ministerio de minas e energia;1573075106
41244;41306;ministerio de minas e energia;1322427318
41334;41395;ministerio de minas e energia;1223527261
41426;41487;ministerio de minas e energia;1692790234
41518;41579;ministerio de minas e energia;1510734303
41609;41671;ministerio de minas e energia;1299813899
41699;41760;ministerio de minas e energia;1291991673
41791;41852;ministerio de minas e energia;1311367445
41883;41944;ministerio de minas e energia;847772965,1
41974;42036;ministerio de minas e energia;463259761,3
42064;42125;ministerio de minas e energia;628898066
42156;42217;ministerio de minas e energia;407360917,4
42248;42309;ministerio de minas e energia;276481097,9
42339;42401;ministerio de minas e energia;69595007,28
42430;42491;ministerio de minas e energia;170426525,9
42522;42583;ministerio de minas e energia;230718441,2
42614;42675;ministerio de minas e energia;319710262,1
42705;42767;ministerio de minas e energia;342792983,3
42795;42856;ministerio de minas e energia;225175527,7
42887;42948;ministerio de minas e energia;263601483,7
42979;43040;ministerio de minas e energia;379372791,5
43070;43132;ministerio de minas e energia;682189254,5
43160;43221;ministerio de minas e energia;616806901,9
43252;43313;ministerio de minas e energia;525705808,3
