data;código do campo;campo;preco
45292;823;Abalone;0,82785
45292;783;Acajá-Burizinho;1,05244
45292;563;Acauã;0,75813
45292;5;Água Grande;0,70699
45292;4821;Águia Real;2,20927
45292;7;Aguilhada;1,0083
45292;6;Agulha;0,71634
45292;3;Albacora;0,71313
45292;4;Albacora Leste;0,70806
45292;1805;Albatroz;2,20927
45292;15;Alto do Rodrigues;0,45178
45292;523;Anambé;0,85086
45292;4824;ANC_Mero;0,64455
45292;4755;AnC_NORTE_ATAPU;0,77156
45292;4749;Anc_Tupi;1,0115
45292;1726;Andorinha;2,20927
45292;11;Anequim;0,88581
45292;9;Angelim;1,38874
45292;10;Angico;2,20927
45292;12;Apraiús;1,18117
45292;14;Arabaiana;1,09772
45292;1505;Araçari;1,788
45292;13;Araçás;1,1996
45292;4708;Araçás Leste;2,20927
45292;4546;Arapaçu;0,85086
45292;4025;Arara Azul;0,77615
45292;662;Araracanga;0,77615
45292;1;Aratu;0,6564
45292;686;Argonauta;0,82808
45292;724;Arribaçã;1,60489
45292;16;Aruari;2,01724
45292;19;Asa Branca;1,1792
45292;21;Atalaia Sul;0,66723
45292;4652;Atapu;0,77156
45292;4845;Atapu_ECO;0,77156
45292;678;Atlanta;0,56034
45292;20;Atum;1,14233
45292;258;Azulão;0,73832
45292;28;Badejo;1,05083
45292;32;Bagre;0,88581
45292;24;Baixa do Algodão;0,64064
45292;38;Baixa do Juazeiro;1,01871
45292;464;Baleia Anã;0,57903
45292;4690;Barra Bonita;0,62923
45292;34;Barra do Ipiranga;0,7155
45292;42;Barracuda;1,19751
45292;25;Barrinha;2,20927
45292;1625;Barrinha Leste;2,20927
45292;3825;Barrinha Sudoeste;2,20927
45292;2625;Baúna;1,45212
45292;4688;Bela Vista;2,20927
45292;3245;Bem-Te-Vi;2,20927
45292;30;Benfica;1,17556
45292;2645;Berbigão;1,1022
45292;33;Bicudo;0,82425
45292;1765;Biguá;0,69113
45292;37;Bijupirá;1,2567
45292;35;Biquara;1,32347
45292;26;Biriba;0,80565
45292;29;Boa Esperança;1,1792
45292;1605;Bom Lugar;1,02295
45292;39;Bonito;0,94495
45292;44;Bonsucesso;1,3257
45292;36;Brejinho BA;1,41843
45292;41;Brejinho RN;0,94545
45292;43;Brejo Grande;0,85998
45292;23;Buracica;1,46352
45292;4598;Búzios;1,0918
45292;4827;Búzios_ECO;1,0918
45292;4700;Caburé;0,72442
45292;4706;Caburé Leste;0,79431
45292;48;Cação;1,07001
45292;51;Cachoeirinha;0,99144
45292;50;Cacimbas;0,67336
45292;56;Caioba;0,92258
45292;4802;Camaçari;2,20927
45292;1184;Camarupim;0,83556
45292;2585;Camarupim Norte;0,83556
45292;3905;Cambacica;0,95829
45292;68;Camorim;0,78366
45292;62;Campo Grande;0,94136
45292;55;Canabrava;1,51729
45292;669;Canapu;1,02957
45292;666;Canário;1,17877
45292;1043;Cancã;0,57768
45292;46;Candeias;0,8771
45292;53;Cangoá;0,67811
45292;63;Cantagalo;0,88936
45292;52;Canto do Amaro;1,17556
45292;79;Carapanaúba;0,77615
45292;78;Carapeba;1,72981
45292;2325;Carapitanga;0,80193
45292;80;Caratinga;1,1749
45292;2505;Carcará;2,20927
45292;1725;Cardeal;2,20927
45292;4664;Cardeal Amarelo;0,55383
45292;4665;Cardeal do Nordeste;0,83103
45292;74;Carmópolis;1,191
45292;82;Cassarongongo;0,76022
45292;67;Castanhal;0,8438
45292;88;Cexis;0,88544
45292;2565;Chauá;2,20927
45292;64;Cherne;1,02739
45292;1404;Cidade de Aracaju;2,20927
45292;60;Cidade de Entre Rios;1,37939
45292;85;Cidade de São Miguel dos Campos;0,86873
45292;66;Cioba;0,71634
45292;923;Colibri;2,20927
45292;72;Conceição;0,79858
45292;3605;Concriz;2,20927
45292;61;Congro;0,99742
45292;83;Coqueiro Seco;0,58523
45292;58;Córrego Dourado;0,73147
45292;70;Corvina;1,02138
45292;2005;Crejoá;2,20927
45292;86;Cupiúba;0,77615
45292;76;Curimã;1,14233
45292;90;Dentão;0,95553
45292;91;Dom João;1,53967
45292;92;Dom João Mar;1,02639
45292;3345;Dó-Ré-Mi;2,20927
45292;93;Dourado;0,74648
45292;95;Enchova;0,88739
45292;96;Enchova Oeste;0,9175
45292;97;Espada;1,14233
45292;98;Espadarte;1,36142
45292;4879;Espadim;1,14539
45292;99;Estreito;2,20927
45292;101;Fazenda Alegre;0,57572
45292;102;Fazenda Alto das Pedras;0,9215
45292;103;Fazenda Alvorada;1,34873
45292;100;Fazenda Azevedo;1,17117
45292;106;Fazenda Bálsamo;1,36479
45292;105;Fazenda Belém BA;1,12558
45292;131;Fazenda Belém CE;2,20927
45292;104;Fazenda Boa Esperança;1,31514
45292;110;Fazenda Canaan;2,20927
45292;107;Fazenda Cedro;0,95156
45292;108;Fazenda Curral;0,99144
45292;112;Fazenda Guindaste;1,0066
45292;113;Fazenda Imbé;1,10374
45292;114;Fazenda Junco;0,86766
45292;115;Fazenda Malaquias;0,64064
45292;116;Fazenda Matinha;0,79858
45292;117;Fazenda Onça;1,33184
45292;118;Fazenda Panelas;1,09356
45292;120;Fazenda Pau Brasil;1,06824
45292;119;Fazenda Pocinho;0,61777
45292;123;Fazenda Rio Branco;2,20927
45292;127;Fazenda Santa Luzia;0,77921
45292;129;Fazenda Santa Rosa;0,79858
45292;125;Fazenda Santo Estevão;2,20927
45292;126;Fazenda São Jorge;0,75882
45292;128;Fazenda São Rafael;0,97839
45292;1224;Foz do Vaza-Barris;2,20927
45292;122;Frade;0,68453
45292;130;Furado;0,85086
45292;4085;Galo de Campina;0,62955
45292;136;Garoupa;1,07873
45292;137;Garoupinha;1,05455
45292;4528;Gavião Azul;0,62053
45292;4822;Gavião Belo;0,77428
45292;4558;Gavião Branco;0,635
45292;4617;Gavião Branco Norte;0,71954
45292;4608;Gavião Caboclo;0,66831
45292;4629;Gavião Carijó;0,6994
45292;4859;Gavião Mateiro;0,61682
45292;4627;Gavião Preto;0,68839
45292;4529;Gavião Real;0,65218
45292;4630;Gavião Tesoura;0,72436
45292;4666;Gavião Vermelho;0,61947
45292;383;Golfinho;0,7073
45292;135;Gomo;1,51336
45292;4531;Graúna;0,74244
45292;133;Guajá;2,20927
45292;134;Guamaré;2,20927
45292;1283;Guanambi;1,24044
45292;3445;Guará;2,20927
45292;132;Guaricema;0,85813
45292;138;Guriri;0,81587
45292;2405;Harpia;2,20927
45292;142;Icapuí;2,20927
45292;141;Ilha de Bimbarra;0,84045
45292;144;Ilha Pequena;2,20927
45292;875;Inhambu;0,57249
45292;4691;Iraí;0,4455
45292;4841;Irara;2,20927
45292;4713;Iraúna;1,16811
45292;1103;Irerê;2,20927
45292;4711;Itaparica;0,70712
45292;4615;Itapu;1,23442
45292;4828;Itapu_ECO;1,23442
45292;1123;Jaçanã;1,05053
45292;147;Jacuípe;0,75524
45292;1727;Jacupemba;2,20927
45292;743;Jacutinga;2,20927
45292;150;Janduí;0,6444
45292;148;Jequiá;1,53694
45292;2285;Jiribatuba;0,92891
45292;702;João de Barro;1,46785
45292;153;Juazeiro;0,727
45292;152;Jubarte;1,03128
45292;983;Juriti;1,1802
45292;154;Lagoa Aroeira;2,20927
45292;162;Lagoa do Paulo;1,66439
45292;483;Lagoa do Paulo Norte;1,71238
45292;673;Lagoa do Paulo Sul;1,08597
45292;164;Lagoa Pacas;0,58301
45292;161;Lagoa Parda;0,87782
45292;165;Lagoa Parda Norte;0,68626
45292;4804;Lagoa Parda Sul;0,93404
45292;163;Lagoa Piabanha;0,80404
45292;168;Lagoa Suruaca;0,98482
45292;322;Lagosta;0,81539
45292;159;Lamarão;0,90254
45292;1746;Lapa;0,72572
45292;157;Leodório;1,24975
45292;167;Leste de Poço Xavier;1,1792
45292;169;Leste do Urucu;0,72711
45292;158;Linguado;0,87927
45292;171;Livramento;0,99144
