data;código do campo;campo;corrente;preço;;
45292;823;Abalone;Ostra;2030,1132;;-1: preços estabelecidos nos termos dos arts. 5° e 8° da Resolução ANP n° 874/2022.
45292;783;Acajá-Burizinho;Ouro Preto;2266,2211;;-2: preço estabelecido nos termos do art. 12 da Resolução ANP n° 874/2022.
45292;563;Acauã;Upanema;2385,0059;;
45292;5;Água Grande;Rio Ventura;2330,7223;;
45292;4821;Águia Real;-1;2686,3691;;
45292;7;Aguilhada;Sergipano Terra;2172,1365;;
45292;6;Agulha;-1;2755,2003;;
45292;3;Albacora;Albacora;2091,9442;;
45292;4;Albacora Leste;Albacora Leste;2095,4736;;
45292;1805;Albatroz;-1;2686,3691;;
45292;15;Alto do Rodrigues;Polo Potiguar;2056,9089;;
45292;523;Anambé;Alagoano;2384,054;;
45292;4824;ANC_Mero;Mero;2296,1939;;
45292;4755;AnC_Norte_Atapu;Atapu;2235,0924;;
45292;4749;ANC_Tupi;Sul de Tupi;2314,3018;;
45292;1726;Andorinha;-1;2342,547;;
45292;11;Anequim;Cabiúnas Mistura;2247,5228;;
45292;9;Angelim;Sergipano Terra;2172,1365;;
45292;10;Angico;Polo Potiguar;2056,9089;;
45292;12;Apraiús;Miranga ECOL-B;2373,6757;;
45292;14;Arabaiana;Pescada;2755,2003;;
45292;1505;Araçari;Araçari;2349,9305;;
45292;13;Araçás;Baiano Mistura;2320,7365;;
45292;4708;Araçás Leste;-1;2563,891;;
45292;4546;Arapaçu;-1;3023,3486;;
45292;4025;Arara Azul;Urucu;2579,5419;;
45292;662;Araracanga;Urucu;2579,5419;;
45292;1;Aratu;Polo Recôncavo;2211,341;;
45292;686;Argonauta;Ostra;2030,1132;;
45292;724;Arribaçã;-1;2418,2826;;
45292;16;Aruari;Sergipano Terra;2172,1365;;
45292;19;Asa Branca;Upanema;2385,0059;;
45292;21;Atalaia Sul;Sergipano Terra;2172,1365;;
45292;4652;Atapu;Atapu;2235,0924;;
45292;4845;Atapu_ECO;Atapu;2235,0924;;
45292;678;Atlanta;Atlanta;1651,3517;;
45292;20;Atum;-1;3023,3486;;
45292;258;Azulão;Azulão;2809,4592;;
45292;28;Badejo;-1;2313,0007;;
45292;32;Bagre;Cabiúnas Mistura;2247,5228;;
45292;24;Baixa do Algodão;Upanema;2385,0059;;
45292;464;Baleia Anã;Parque das Baleias;2179,4643;;
45292;4690;Barra Bonita;-1;2563,891;;
45292;34;Barra do Ipiranga;-1;2686,3691;;
45292;42;Barracuda;Barracuda-Caratinga;2302,7522;;
45292;25;Barrinha;Polo Potiguar;2056,9089;;
45292;1625;Barrinha Leste;Polo Potiguar;2056,9089;;
45292;3825;Barrinha Sudoeste;Polo Potiguar;2056,9089;;
45292;2625;Baúna;Baúna;2427,4679;;
45292;4688;Bela Vista;-1;2814,5402;;
45292;3245;Bem-Te-Vi;-1;2255,5183;;
45292;30;Benfica;Polo Potiguar;2056,9089;;
45292;2645;Berbigão;Berbigão-Sururu;2309,4959;;
45292;33;Bicudo;-1;2313,0007;;
45292;37;Bijupirá;-1;2313,0007;;
45292;35;Biquara;-1;2755,2003;;
45292;26;Biriba;-1;2814,5402;;
45292;29;Boa Esperança;Upanema;2385,0059;;
45292;1605;Bom Lugar;-1;2814,5402;;
45292;39;Bonito;Polo Enchova;2278,9637;;
45292;44;Bonsucesso;Rio Ventura;2330,7223;;
45292;41;Brejinho RN;Upanema;2385,0059;;
45292;43;Brejo Grande;Sergipano Terra;2172,1365;;
45292;23;Buracica;Baiano Mistura;2320,7365;;
45292;4598;Búzios;Búzios;2280,2525;;
45292;4827;Búzios_ECO;Búzios;2280,2525;;
45292;4700;Caburé;Caburé;2801,0929;;
45292;4706;Caburé Leste;-1;3023,3486;;
45292;48;Cação;-1;2686,3691;;
45292;51;Cachoeirinha;Upanema;2385,0059;;
45292;50;Cacimbas;Cricaré;2104,4272;;
45292;56;Caioba;-1;3023,3486;;
45292;4802;Camaçari;-1;2563,891;;
45292;1184;Camarupim;-1;2686,3691;;
45292;2585;Camarupim Norte;-1;2686,3691;;
45292;3905;Cambacica;Polo Recôncavo;2211,341;;
45292;68;Camorim;-1;2396,9543;;
45292;62;Campo Grande;Cricaré;2104,4272;;
45292;55;Canabrava;Estação NCS;2234,1652;;
45292;669;Canapu;Golfinho;2289,5089;;
45292;666;Canário;Canário;2157,1624;;
45292;1043;Cancã;FAL;1954,2354;;
45292;46;Candeias;Polo Recôncavo;2211,341;;
45292;53;Cangoá;Peroá;2686,3691;;
45292;63;Cantagalo;Baiano Mistura;2320,7365;;
45292;52;Canto do Amaro;Polo Potiguar;2056,9089;;
45292;79;Carapanaúba;Urucu;2579,5419;;
45292;78;Carapeba;Pargo Cluster;2181,7854;;
45292;2325;Carapitanga;-1;2350,8793;;
45292;80;Caratinga;Barracuda-Caratinga;2302,7522;;
45292;2505;Carcará;-1;2755,2003;;
45292;1725;Cardeal;Cardeal;2187,4196;;
45292;4664;Cardeal Amarelo;-1;2814,5402;;
45292;4665;Cardeal do Nordeste;Cardeal do Nordeste;2814,5402;;
45292;74;Carmópolis;Sergipano Terra;2172,1365;;
45292;82;Cassarongongo;Estação NCS;2234,1652;;
45292;67;Castanhal;Sergipano Terra;2172,1365;;
45292;88;Cexis;Polo Recôncavo;2211,341;;
45292;2565;Chauá;-1;2755,2003;;
45292;64;Cherne;Cabiúnas Mistura;2247,5228;;
45292;1404;Cidade de Aracaju;-1;2211,6253;;
45292;60;Cidade de Entre Rios;Baiano Mistura;2320,7365;;
45292;66;Cioba;-1;2755,2003;;
45292;923;Colibri;Colibri;2285,7136;;
45292;72;Conceição;Tucano Sul;2843,2242;;
