competencia;caixa;acre;alagoas;amazonas;amapa;bahia;ceara;espirito santo;goias;maranhao;minas gerais;mato grosso do sul;mato grosso;para;paraiba;pernambuco;piaui;parana;rio de janeiro;rio grande do norte;rondonia;roraima;rio grande do sul;santa catarina;sergipe;sao paulo;tocantins
45597;45658;0;3138336,75;21532203,81;0;16938931,37;430840,76;36882455,13;0;5046277,52;0;0;0;0;0;0;0;6061119,75;1155682020;20705831,92;0;0;0;0;6646702,61;53176471,74;0
45627;45689;0;4028490,51;24415433,96;0;19239205,05;462857,26;55144302,26;0;8671624,26;0;0;0;0;0;0;0;6164209,78;1263065120;22976531,02;0;0;0;0;7817053,28;59564259,96;0
45658;45717;0;4699343,9;28359079,04;0;21363356,33;451626,42;68874981,12;0;7552001,11;0;0;0;0;0;0;0;6334132,2;1329972278;23544244,04;0;0;0;0;7907958,41;75139099,35;0
45689;45748;0;4127862,5;24036276,24;0;18115704,19;380987,51;51963852,77;0;1092458,31;0;0;0;0;0;0;0;6111303,13;1112078756;20812577,72;0;0;0;0;6380641,01;65068285,71;0
45717;45778;0;4465807,91;25133220,87;0;19549896,68;385732,24;55168328,89;0;602143,58;0;0;0;0;0;0;0;6182374,76;1248010684;21601646,19;0;0;0;0;7138116,64;62943981,67;0
45748;45809;0;3721832,66;23003185,38;0;17036461,41;358338,23;56354853,05;0;2174544,75;0;0;0;0;0;0;0;6025722,19;1123323452;19322644,35;0;0;0;0;6475079,7;58751452,58;0
45778;45839;0;3224468,08;20162441,74;0;16007946,73;370788,77;52798067,39;0;3338068,15;0;0;0;0;0;0;0;5259832,72;1108746469;18883965,72;0;0;0;0;6720235,77;51588084,11;0
45809;45870;0;3351537,64;20941215,8;0;16625428,15;443301,66;60226326,28;0;8581883,42;0;0;0;0;0;0;0;5845401,56;1181095572;19583758,54;0;0;0;0;7148412,92;50574657,82;0
45839;45901;0;3306833,92;21575467,47;0;17436826,4;441742,81;67035416,2;0;8672692,23;0;0;0;0;0;0;0;6239440,84;1262298004;19805228,34;0;0;0;0;7081861,3;57564943,32;0
45870;45931;0;3168512,49;20799226,54;0;16708873,11;368669,25;72278159,33;0;9649332,06;0;0;0;0;0;0;0;6292065,01;1160681577;18157281,96;0;0;0;0;6720823,87;55117178,55;0
45901;45962;0;3237109,26;20590079,39;0;15811347,01;314566,5;70177121,17;0;8415467,69;0;0;0;0;0;0;0;6309110,34;1110050610;17368074,27;0;0;0;0;6263202,62;49860361,55;0
45931;45992;0;3344498,67;20422312,24;0;15555583,02;5079,94;66843425,74;0;9185262,64;0;0;0;0;0;0;0;6339132,96;1143444527;15572482,85;0;0;0;0;6144661,94;53828624,26;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
