competencia;caixa;municipio;estado;royalties minimos;royalties excedentes
45597;45658;anadia-al;al;381,35;0
45597;45658;atalaia-al;al;575011,52;0
45597;45658;barra de santo antonio-al;al;562721,48;404,22
45597;45658;barra de sao miguel-al;al;588060,95;0
45597;45658;boca da mata-al;al;591708,37;0
45597;45658;branquinha-al;al;489,22;0
45597;45658;cajueiro-al;al;413,13;0
45597;45658;campestre-al;al;317,79;0
45597;45658;campo alegre-al;al;508,47;0
45597;45658;capela-al;al;381,35;0
45597;45658;cha preta-al;al;317,79;0
45597;45658;colonia leopoldina-al;al;413,13;0
45597;45658;coqueiro seco-al;al;544250,86;109,59
45597;45658;coruripe-al;al;547208,95;48898,45
45597;45658;feliz deserto-al;al;631660,34;16065,28
45597;45658;flexeiras-al;al;571817,55;0
45597;45658;ibateguara-al;al;365,46;0
45597;45658;igreja nova-al;al;413,13;0
45597;45658;jacuipe-al;al;579469,39;0
45597;45658;japaratinga-al;al;317,79;0
45597;45658;jequia da praia-al;al;552411,15;1554,05
45597;45658;joaquim gomes-al;al;413,13;0
45597;45658;jundia-al;al;388,95;0
45597;45658;junqueiro-al;al;413,13;0
45597;45658;maceio-al;al;574796,51;29947,46
45597;45658;maragogi-al;al;444,91;0
45597;45658;marechal deodoro-al;al;362275,19;22409,33
45597;45658;matriz de camaragibe-al;al;577211,53;0
45597;45658;messias-al;al;587459,75;0
45597;45658;murici-al;al;429,02;0
45597;45658;novo lino-al;al;349,57;0
45597;45658;paripueira-al;al;547701,14;11180,53
45597;45658;passo de camaragibe-al;al;365,46;0
45597;45658;penedo-al;al;2823058,14;2,26
45597;45658;piacabucu-al;al;584585,5;513,94
45597;45658;pilar-al;al;4620303,5;244821,44
45597;45658;pindoba-al;al;317,79;0
45597;45658;porto calvo-al;al;429,02;0
45597;45658;porto de pedras-al;al;317,79;0
45597;45658;porto real do colegio-al;al;397,24;0
45597;45658;rio largo-al;al;537230,77;18,81
45597;45658;roteiro-al;al;214345,47;0
45597;45658;santa luzia do norte-al;al;563352,38;0,93
45597;45658;santana do mundau-al;al;333,68;0
45597;45658;sao jose da laje-al;al;413,13;0
45597;45658;sao luis do quitunde-al;al;545,46;0
45597;45658;sao miguel dos campos-al;al;4158176,83;200354,71
45597;45658;sao miguel dos milagres-al;al;317,79;0
45597;45658;sao sebastiao-al;al;584990,28;0
45597;45658;satuba-al;al;621420,5;12926,12
45597;45658;teotonio vilela-al;al;571960,56;0
45597;45658;uniao dos palmares-al;al;524,36;0
45597;45658;vicosa-al;al;429,02;0
45597;45658;alvaraes-am;am;580435,56;0
45597;45658;anama-am;am;572679,41;2634,82
45597;45658;anori-am;am;563827,46;3239,75
45597;45658;autazes-am;am;0;1958,5
45597;45658;beruri-am;am;0;1823,3
45597;45658;borba-am;am;21,38;0
45597;45658;caapiranga-am;am;571545,7;723,63
45597;45658;careiro da varzea-am;am;0;1958,69
45597;45658;careiro-am;am;0;1823,3
45597;45658;coari-am;am;2994407,51;3068002,04
45597;45658;codajas-am;am;562265,63;2774,63
45597;45658;iranduba-am;am;549327,4;2220,21
45597;45658;itacoatiara-am;am;0;1997,25
45597;45658;itapiranga-am;am;0;1958,26
45597;45658;manacapuru-am;am;581154,14;1823,3
45597;45658;manaquiri-am;am;0;1823,3
45597;45658;manicore-am;am;590003,27;0
45597;45658;nhamunda-am;am;582983,28;0
45597;45658;novo airao-am;am;584990,28;0
45597;45658;parintins-am;am;0;1957,6
45597;45658;rio preto da eva-am;am;67,21;0
45597;45658;santa isabel do rio negro-am;am;103,46;0
45597;45658;sao gabriel da cachoeira-am;am;37,24;0
45597;45658;sao paulo de olivenca-am;am;588262,11;0
45597;45658;silves-am;am;87991,57;47654,21
45597;45658;tabatinga-am;am;21,38;0
45597;45658;tefe-am;am;543033,83;313483,34
45597;45658;urucara-am;am;0;1958,71
45597;45658;urucurituba-am;am;0;1958,26
45597;45658;laranjal do jari-ap;ap;0;1958,26
45597;45658;macapa-ap;ap;0;1961,94
45597;45658;mazagao-ap;ap;0;1956,85
45597;45658;agua fria-ba;ba;588903,2;2
45597;45658;aiquara-ba;ba;581768,67;0
45597;45658;alagoinhas-ba;ba;877272,46;230756,6
45597;45658;alcobaca-ba;ba;571664,64;0
45597;45658;amelia rodrigues-ba;ba;591257,3;0
45597;45658;aracas-ba;ba;860918,17;171349,48
45597;45658;aramari-ba;ba;6806,4;2858,68
45597;45658;aurelino leal-ba;ba;571451,66;0
45597;45658;camacan-ba;ba;588868,57;0
45597;45658;camacari-ba;ba;666431,56;29557,21
45597;45658;candeias-ba;ba;667639,02;456826,66
45597;45658;caravelas-ba;ba;574690,07;0
45597;45658;cardeal da silva-ba;ba;628583,23;41876,63
45597;45658;catu-ba;ba;717034,67;105959,82
45597;45658;conde-ba;ba;0;548,55
45597;45658;dias d'avila-ba;ba;585806,66;0
45597;45658;entre rios-ba;ba;778382,13;212771,69
45597;45658;esplanada-ba;ba;762658,09;274303,44
45597;45658;eunapolis-ba;ba;542651,6;5303,7
45597;45658;gandu-ba;ba;577423,52;0
45597;45658;gongogi-ba;ba;581258,72;0
45597;45658;ibirataia-ba;ba;569830,38;0
45597;45658;inhambupe-ba;ba;1209,67;616,93
45597;45658;ipiau-ba;ba;558756,96;0
45597;45658;itabela-ba;ba;580826,37;0
45597;45658;itabuna-ba;ba;527225,58;2745,17
45597;45658;itagi-ba;ba;591250,57;0
45597;45658;itajuipe-ba;ba;584082,18;0
45597;45658;itamaraju-ba;ba;589133,39;0
45597;45658;itanagra-ba;ba;575853,75;20322,8
45597;45658;itaparica-ba;ba;506666,84;300099,95
45597;45658;itapebi-ba;ba;582796,28;0
45597;45658;itapitanga-ba;ba;998557,84;0
45597;45658;jaguaripe-ba;ba;535865,04;0
45597;45658;jandaira-ba;ba;571664,64;0
45597;45658;jussari-ba;ba;677614,48;0
45597;45658;laje-ba;ba;572835,42;0
45597;45658;madre de deus-ba;ba;249321,78;720244,59
45597;45658;maragogipe-ba;ba;541219,5;0
45597;45658;mascote-ba;ba;571612,52;0
45597;45658;mata de sao joao-ba;ba;715621,62;110614,46
45597;45658;mucuri-ba;ba;544202,15;6648,73
45597;45658;muniz ferreira-ba;ba;577708,99;0
45597;45658;nazare-ba;ba;576965,27;0
45597;45658;nova ibia-ba;ba;675720,64;0
45597;45658;nova soure-ba;ba;591257,49;0,03
45597;45658;nova vicosa-ba;ba;659706,93;0
45597;45658;ouricangas-ba;ba;573675,39;1345,81
45597;45658;pojuca-ba;ba;1543626,42;779802,41
45597;45658;presidente tancredo neves-ba;ba;572683,65;0
45597;45658;salinas da margarida-ba;ba;461024,1;299869,26
45597;45658;salvador-ba;ba;0;234801,32
45597;45658;santo amaro-ba;ba;473442,8;299847,9
45597;45658;sao francisco do conde-ba;ba;214345,47;154814,5
45597;45658;sao sebastiao do passe-ba;ba;793789,84;191113,68
45597;45658;satiro dias-ba;ba;1376617,68;4596,57
45597;45658;saubara-ba;ba;0;197185,16
45597;45658;simoes filho-ba;ba;545160,29;475,89
45597;45658;teodoro sampaio-ba;ba;523655,41;13
45597;45658;teolandia-ba;ba;115,96;0
45597;45658;valenca-ba;ba;568271,29;0
45597;45658;vera cruz-ba;ba;542680,55;18,28
45597;45658;wenceslau guimaraes-ba;ba;578624,52;0
45597;45658;amontada-ce;ce;112,58;0
45597;45658;aquiraz-ce;ce;0;46347,24
45597;45658;aracati-ce;ce;214345,47;20218,22
45597;45658;caucaia-ce;ce;632295,16;50044,53
45597;45658;fortaleza-ce;ce;235780,02;37507,14
45597;45658;fortim-ce;ce;409,72;0
45597;45658;horizonte-ce;ce;521427,74;13,85
45597;45658;icapui-ce;ce;557621,56;14029,56
45597;45658;itapipoca-ce;ce;490,1;0
45597;45658;itarema-ce;ce;539803,2;0
45597;45658;jaguaruana-ce;ce;588546,78;7977,92
45597;45658;maracanau-ce;ce;377566,95;1540,64
45597;45658;pacajus-ce;ce;21,72;0
45597;45658;pacatuba-ce;ce;580000,2;0
45597;45658;paracuru-ce;ce;549958,04;0
45597;45658;paraipaba-ce;ce;55,34;0
45597;45658;sao goncalo do amarante-ce;ce;732,28;24,71
45597;45658;trairi-ce;ce;538080,79;0
45597;45658;afonso claudio-es;es;121377,7;0
45597;45658;agua doce do norte-es;es;91033,27;0
