competencia;caixa;estados;municipios;fundo especial;comando da marinha;mct;fundo social;educacao e saude
45597;45658;1326241191;1686331673;414021277,3;115484592,5;80121449,02;381008384,6;956615291,6
45627;45689;1471549087;1866954355;457867122;134053539,7;94055384,21;454144418,5;1009286401
45658;45717;1574198100;1997341236;489747921,9;149983212,9;103588514,1;480121123,5;1078871319
45689;45748;1310168705;1670537960;409731309,7;121839686,4;84388710,03;391915804,7;919843211,8
45717;45778;1451181933;1850866718;455007160,5;130883673;91693361,6;421023083,3;1041415118
45748;45809;1316547566;1674319538;410968945,7;116142491,6;79599078,33;385773518,3;939304293,2
45778;45839;1287100369;1640038925;403160663,1;119669005,7;82331287,91;378434138,5;910968864,3
45809;45870;1374417496;1748114845;429384632;124122594,2;85331471,41;390639800,4;993559819,4
45839;45901;1471458457;1875247807;461152570;132859896;90586079,34;409122506,5;1078798072
45870;45931;1369941699;1743159866;428381852,5;119616770,7;81941865,54;385809825;1003149598
45901;45962;1308397049;1664095973;409148626,1;100913902;69058500,15;380289757,4;971582966
45931;45992;1340685591;1715567884;420471787,1;102900507,3;70632173,35;361399428;1033200736
;;;;;;;;
;;;;;;;;
;;;;;;;;
